Country,ISO3,Percent of DALYs due to tobacco
Afghanistan,AFG,0.0504566892904
Albania,ALB,0.118055519747
Algeria,DZA,0.045908570965
Andorra,AND,0.0944538991278
Angola,AGO,0.0214593591012
Antigua and Barbuda,ATG,0.0236483811175
Argentina,ARG,0.0931541660164
Armenia,ARM,0.140853756458
Australia,AUS,0.0787378805204
Austria,AUT,0.0986797085748
Azerbaijan,AZE,0.121542347816
Bahamas,BHS,0.04449495
Bahrain,BHR,0.0437248201061
Bangladesh,BGD,0.0962877149349
Barbados,BRB,0.0273763808759
Belarus,BLR,0.12970190956
Belgium,BEL,0.121482069892
Belize,BLZ,0.0398814899516
Benin,BEN,0.0176701050288
Bhutan,BTN,0.030349704919
Bolivia,BOL,0.0335012527818
Bosnia and Herzegovina,BIH,0.172079844373
Botswana,BWA,0.0528361319462
Brazil,BRA,0.0632575838345
Brunei,BRN,0.0758541079718
Bulgaria,BGR,0.155530264318
Burkina Faso,BFA,0.016163386178
Burundi,BDI,0.0151627872889
Cambodia,KHM,0.0883535147667
Cameroon,CMR,0.0189082817019
Canada,CAN,0.106089515654
Cape Verde,CPV,0.0382934519344
Central African Rep.,CAF,0.0237135359322
Chad,TCD,0.0118433317319
Chile,CHL,0.0681836964808
China,CHN,0.124758162572
Colombia,COL,0.0435205160234
Comoros,COM,0.025053619186
Congo,COG,0.022319703
Cook Islands,COK,
Costa Rica,CRI,0.02896184
Croatia,HRV,0.147079935
Cuba,CUB,0.132334651
Cyprus,CYP,0.09550544
Czech Rep.,CZE,0.128228349
Côte d'Ivoire,CIV,0.0256937136134
DPR Korea,PRK,0.190253763246
Dem. Rep. of Congo,COD,0.018128069
Denmark,DNK,0.134968350548
Djibouti,DJI,0.0429543285307
Dominica,DMA,0.0423125638524
Dominican Rep.,DOM,0.0398753869744
Ecuador,ECU,0.0209557131711
Egypt,EGY,0.0754350776976
El Salvador,SLV,0.0264269738721
Equatorial Guinea,GNQ,0.0142032563153
Eritrea,ERI,0.0176423946373
Estonia,EST,0.107070173142
Ethiopia,ETH,0.012998400069
FYR Macedonia,MKD,0.159663705713
Fed. States of Micronesia,FSM,0.110295384936
Fiji,FJI,0.0866356289114
Finland,FIN,0.0747252875149
France,FRA,0.0991472271305
Gabon,GAB,0.0247619557906
Gambia,GMB,0.0246144198512
Georgia,GEO,0.12796184344
Germany,DEU,0.109207312777
Ghana,GHA,0.0127117219582
Greece,GRC,0.146004021524
Grenada,GRD,0.0522216168553
Guatemala,GTM,0.0186357262121
Guinea,GIN,0.0205563390594
Guinea-Bissau,GNB,0.0266947618459
Guyana,GUY,0.0564395570921
Haiti,HTI,0.0314497733161
Honduras,HND,0.0375567300377
Hong Kong,HKG,
Hungary,HUN,0.175991701496
Iceland,ISL,0.0996027764159
India,IND,0.0588045981496
Indonesia,IDN,0.0954657634756
Iran,IRN,0.0570935749958
Iraq,IRQ,0.050551386153
Ireland,IRL,0.105007107896
Israel,ISR,0.0729783863254
Italy,ITA,0.101511912821
Jamaica,JAM,0.0587863619738
Japan,JPN,0.0808900118556
Jordan,JOR,0.0614192856001
Kazakhstan,KAZ,0.116608790049
Kenya,KEN,0.0175551855416
Kiribati,KIR,0.126493773808
Kuwait,KWT,0.05605832483
Kyrgyzstan,KGZ,0.0774368551065
Latvia,LVA,0.125347010717
Lebanon,LBN,0.0978449128893
Lesotho,LSO,0.0458405227365
Liberia,LBR,0.0155256908905
Libya,LBY,0.0726106796891
Lichtenstein,LIE,
Lithuania,LTU,0.113016275821
Loa PDR,LAO,0.0831578801306
Luxembourg,LUX,0.100120918202
Madagascar,MDG,0.0255503952205
Malawi,MWI,0.0161387803272
Malaysia,MYS,0.109696797685
Maldives,MDV,0.0723460887179
Mali,MLI,0.00816697206826
Malta,MLT,0.0889435318135
Marshall Islands,MHL,0.0859446436452
Mauritania,MRT,0.0242307067245
Mauritius,MUS,0.0867263864455
Mexico,MEX,0.0418510389755
Moldova,MDA,0.106362225
Monaco,MCO,
Mongolia,MNG,0.113006655907
Montenegro,MNE,0.186844019898
Morocco,MAR,0.058794454782
Mozambique,MOZ,0.0199189102318
Myanmar,MMR,0.103445464046
Namibia,NAM,0.0280349581981
Nauru,NRU,
Nepal,NPL,0.0777601671555
Netherlands,NLD,0.131530733726
New Zealand,NZL,0.0863395874389
Nicaragua,NIC,0.0284354160223
Niger,NER,0.0105137977962
Nigeria,NGA,0.00632353150931
Niue,NIU,
Norway,NOR,0.0956684201076
Oman,OMN,0.0375144313362
Pakistan,PAK,0.0672331109011
Palau,PLW,
Panama,PAN,0.0231286629331
Papua New Guinea,PNG,0.119401391814
Paraguay,PRY,0.0568612292127
Peru,PER,0.027563695804
Philippines,PHL,0.112755802333
Poland,POL,0.147492606611
Portugal,PRT,0.0858724928575
Qatar,QAT,0.0358004750632
Rep. Korea,KOR,0.082209379
Romania,ROU,0.133662309
Russian Federation,RUS,0.131552164
Rwanda,RWA,0.017584266
Samoa,WSM,0.0998650333873
San Marino,SMR,
Sao Tome and Principe,STP,0.0240123717629
Saudi Arabia,SAU,0.0398184408508
Senegal,SEN,0.0223838143551
Serbia,SRB,0.158194038272
Seychelles,SYC,0.0876921126549
Sierra Leone,SLE,0.0271471710847
Singapore,SGP,0.0660785547975
Slovakia,SVK,0.12102344457
Slovenia,SVN,0.100010783043
Solomon Islands,SLB,0.114631113795
Somalia,SOM,0.0228199115981
